,Marque,Modele,Prix Comme neuf,Prix tres bon etat,Prix marque/raye,Prix ecran casse,URL landing page produit,Capacite
87,Apple,iPhone 6,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6-128Go-6961,128Go
88,Apple,iPhone 6 Plus,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6 Plus-16Go-6981,16Go
89,Apple,iPhone 6 Plus,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6 Plus-32Go-6985,32Go
90,Apple,iPhone 6 Plus,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6 Plus-64Go-6989,64Go
91,Apple,iPhone 6 Plus,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6 Plus-128Go-6993,128Go
92,Apple,iPhone 6S,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6S-16Go-7013,16Go
93,Apple,iPhone 6S,44,44,27,2,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6S-32Go-7017,32Go
94,Apple,iPhone 6S,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6S-64Go-7021,64Go
95,Apple,iPhone 6S,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6S-128Go-7025,128Go
96,Apple,iPhone 6S Plus,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6S Plus-16Go-7045,16Go
97,Apple,iPhone 6S Plus,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6S Plus-32Go-7049,32Go
98,Apple,iPhone 6S Plus,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6S Plus-64Go-7053,64Go
99,Apple,iPhone 6S Plus,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6S Plus-128Go-7057,128Go
100,Apple,iPhone 7,62,62,38,4,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 7-32Go-7077,32Go
101,Apple,iPhone 7,74,74,50,4,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 7-128Go-7081,128Go
102,Apple,iPhone 7,74,74,50,4,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 7-256Go-7085,256Go
103,Apple,iPhone 7 Plus,94,94,58,4,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 7 Plus-32Go-7101,32Go
104,Apple,iPhone 7 Plus,105,105,64,4,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 7 Plus-128Go-7105,128Go
105,Apple,iPhone 7 Plus,105,105,64,4,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 7 Plus-256Go-7109,256Go
106,Apple,iPhone 8,110,110,75,11,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 8-64Go-7125,64Go
107,Apple,iPhone 8,110,110,75,11,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 8-128Go-7129,128Go
108,Apple,iPhone 8,136,136,95,11,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 8-256Go-7133,256Go
109,Apple,iPhone 8 Plus,150,150,109,16,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 8 Plus-64Go-7149,64Go
110,Apple,iPhone 8 Plus,150,150,109,16,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 8 Plus-128Go-7153,128Go
111,Apple,iPhone 8 Plus,168,168,126,16,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 8 Plus-256Go-7157,256Go
112,Apple,iPhone SE,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone SE-16Go-7173,16Go
113,Apple,iPhone SE,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone SE-32Go-7177,32Go
114,Apple,iPhone SE,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone SE-64Go-7181,64Go
115,Apple,iPhone SE,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone SE-128Go-7185,128Go
116,Apple,iPhone SE (2020),117,117,70,16,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone SE (2020)-64Go-7205,64Go
117,Apple,iPhone SE (2020),141,141,94,16,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone SE (2020)-128Go-7209,128Go
118,Apple,iPhone SE (2020),141,141,94,16,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone SE (2020)-256Go-7213,256Go
119,Apple,iPhone X,182,182,129,23,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone X-64Go-7217,64Go
120,Apple,iPhone X,217,217,158,23,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone X-256Go-7221,256Go
