id,name,manufacturer,image,network,capacity,grade_a,grade_b,grade_c,grade_d,grade_e
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,2,,380,280,30,15
934,iPhone 11 Pro,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_Pro_Midnight_Green_comp_710x710.png5fa2e380c730f.png,Unlocked,64,,290,210,50,25
934,iPhone 11 Pro,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_Pro_Midnight_Green_comp_710x710.png5fa2e380c730f.png,Unlocked,256,,345,265,50,25
934,iPhone 11 Pro,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_Pro_Midnight_Green_comp_710x710.png5fa2e380c730f.png,Unlocked,512,,345,265,50,25
934,iPhone 11 Pro,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_Pro_Midnight_Green_comp_710x710.png5fa2e380c730f.png,Locked,64,,210,130,50,25
934,iPhone 11 Pro,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_Pro_Midnight_Green_comp_710x710.png5fa2e380c730f.png,Locked,256,,265,185,50,25
934,iPhone 11 Pro,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_Pro_Midnight_Green_comp_710x710.png5fa2e380c730f.png,Locked,512,,265,185,50,25
935,iPhone 11 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_pro_max_silver_comp_710x710.png5fa2fe4a6fd3c.png,Unlocked,64,,342,262,50,25
935,iPhone 11 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_pro_max_silver_comp_710x710.png5fa2fe4a6fd3c.png,Unlocked,256,,392,312,50,25
935,iPhone 11 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_pro_max_silver_comp_710x710.png5fa2fe4a6fd3c.png,Unlocked,512,,392,312,50,25
935,iPhone 11 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_pro_max_silver_comp_710x710.png5fa2fe4a6fd3c.png,Locked,64,,262,182,50,25
935,iPhone 11 Pro Max,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPhone_11_pro_max_silver_comp_710x710.png5fa2fe4a6fd3c.png,Locked,256,,312,232,50,25
